name,am_college_id,staff-directory,selector
Sul Ross State University,33021,https://srlobos.com/staff-directory,
State University of New York at Cobleskill,35449,https://warriorathletics.com/staff-directory,
SUNY College of Environmental Science and Forestry,32741,https://fightingtigers.cobleskill.edu/staff-directory,
SUNY Cortland,32355,https://www.cortlandreddragons.com/staff-directory,
Georgia Highlands College,34992,https://ggcathletics.com/staff-directory,
University of Maine at Machias,35131,https://gocards.com/staff-directory,
SUNY Oneonta,35448,https://oneontaathletics.com/staff-directory,
Susquehanna University,35607,https://suriverhawks.com/staff-directory,
Grossmont College,31018,https://pioneers.grinnell.edu/staff-directory,
Hesston College,35095,https://hendrixwarriors.com/staff-directory,
Sussex County Community College,36134,https://suriverhawks.com/staff-directory,
University of Idaho,35018,https://govandals.com/staff-directory,
Swarthmore College,32087,https://swarthmoreathletics.com/staff-directory,
Bentley University,32832,cuyahoga Community College District athletics staff directory,
University of Hawaii at Hilo,35003,https://georgiadogs.com/staff-directory,
Tennessee Technological University,35696,https://utmsports.com/staff-directory,
Los Angeles Pierce College,31045,https://duhawks.com/staff-directory,
Texas A & M University-Corpus Christi,35710,https://utmsports.com/staff-directory,
Southern University at Shreveport,35126,https://gojagsports.com/staff-directory,
University of Louisiana at Lafayette,35122,https://ukathletics.com/staff-directory/mitch-barnhart/3,
Texas A&M University-Texarkana,32965,https://lionathletics.com/staff-directory,
The University of Texas at El Paso,32242,https://minerathleticclub.com/staff-directory,
The University of Texas at Tyler,35746,https://uttylerpatriots.com/staff-directory,
Texas Christian University,33044,https://gofrogs.com/staff-directory,
Mississippi Delta Community College,35255,https://www.gochoctaws.com/staff-directory,
Cottey College,35277,https://cugoldeneagles.com/staff-directory,
Texas Wesleyan University,33039,https://ramsports.net/sports/general/staff,
The University of Texas at Austin,32199,https://texassports.com/sports/2013/7/29/GEN_0729135557.aspx?path=general,
The University of Texas at Dallas,32206,https://utdcomets.com/staff-directory,
The University of Texas at Arlington,33041,https://utamavs.com/staff-directory,
Eastern Oklahoma State College,35534,https://goeasternathletics.com/staff-directory,
Terra State Community College,35536,https://utmsports.com/staff-directory,
The University of Texas at San Antonio,32243,https://goutsa.com/staff-directory,
Thaddeus Stevens College of Technology,35608,https://stevensducks.com/staff-directory,
Wabash Valley College,36146,https://sports.wabash.edu/staff-directory,
Thomas College,35145,https://thielathletics.com/staff-directory,
Thomas More University,31703,https://www.thomasmoresaints.com/information/directory/index,
Towson University,36137,https://towsontigers.com/staff-directory,
Treasure Valley Community College,32662,https://www.gochuks.com/information/directory/index,
Trinity International University-Illinois,36482,https://tiutrojans.com/staff-directory,
